id,positive,negative,support,hostile,strong,power,weak,submit,active,passive,pleasure,pain,feel,arousal,emote,virtue,vice,ovrst,undrst,entry,doctrin,econ,exch,expressive,legal,milit,politic,religion
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,abandon,,,,,abandon,,,,,,,,,,,,,,,,,,,,,
3,,abandonment,,,,,abandonment,,,,,,,,,,,,,,,,,,,,,
4,,abate,,,,,,,,abate,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,abdicate,,,,,abdicate,abdicate,,abdicate,,,,,,,,,,,,,,,,,,
7,,abhor,,abhor,,,,,,abhor,,,,abhor,,,,,,,,,,,,,,
8,abide,,abide,,,,,,abide,,,,,,,,,,,,abide,,,,,,,
9,ability,,,,ability,,,,,,,,,,,ability,,,,,,,,,,,,
10,,abject,,,,,abject,abject,,abject,,,,,,,abject,,,,,,,,,,,
11,able,,,,able,,,,,,,,,,,able,,,,,,,,,,,,
12,,abnormal,,,,,,,,,,,,,,,abnormal,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,abolish,,abolish,abolish,abolish,,,abolish,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,abominable,,,abominable,,,,,,,,,,,,abominable,abominable,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,abound,,,,,,,,,abound,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,about,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,above,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,abrasive,,abrasive,abrasive,,,,,,,,,,,,abrasive,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,abrupt,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,abscond,,abscond,,,abscond,abscond,abscond,,,,,,,,,,,,,,,,,,,
34,,absence,,,,,absence,,,,,,,,,,,,,,,,,,,,,
35,,absent,,,,,absent,,,absent,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,absent,,,,,,,,,,,,,,,,,,
37,,absent-minded,,,,,absent-minded,,,absent-minded,,,,,,,,,,,,,,,,,,
38,,absentee,,absentee,,,absentee,,,,,,,,,,absentee,,,,,,,,,,,
39,,,,,absolute,,,,,,,,,,,absolute,,absolute,,,,,,,,,,
40,,,,,absolute,,,,,,,,,,,,,absolute,,,,,,,,,,
41,absolve,,,,,,,,absolve,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,absorbent,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,absorption,,absorption,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,absurd,,,,,,,,,,,,,,,absurd,absurd,,,,,,,,,,
50,,absurdity,,,,,,,,,,,,,,,absurdity,,,,,,,,,,,
51,abundance,,,,abundance,,,,,,,,,,,,,abundance,,,,,,,,,,
52,abundant,,,,abundant,,,,,,,,,,,,,abundant,,,,,,,,,,
53,,abuse,,abuse,,,,,abuse,,,,,,,,abuse,,,,,,,,,,,
54,,abuse,,abuse,abuse,,,,abuse,,,,,,,,,,,,,,,,,,,
55,,abyss,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,academic,academic,,,,,,,
58,,,,,,,,,,,,,,,,,,,,academy,,,,,,,,
59,accede,,accede,,,,,,accede,,,,,,,,,,,,,,,,,,,
60,,,,,accelerate,,,,accelerate,,,,,,,,,,,,,,,,,,,
61,,,,,acceleration,,,,acceleration,,,,,,,,,,,,,,,,,,,
62,accentuate,,,,,,,,accentuate,,,,,,,,,accentuate,,,,,,,,,,
63,accept,,,,,,,accept,,accept,,,,,,,,,,,,,,,,,,
64,acceptable,,,,,,,,,,,,,,,acceptable,,,,,,,,,,,,
65,acceptance,,acceptance,,,,,,,acceptance,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,accessible,,,,,,,,,,,,,,,accessible,,,,,,,,,,,,
68,accession,,,,accession,,,,,,,,,,,,,,,,,,,,,,,
69,,accident,,,,,,,,,,,,,,,,,accident,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,accidental,,,,,,,,,
71,acclaim,,,,,,,,,,,,,,,acclaim,,,,,,,,,,,,
72,acclamation,,,,,,,,,,,,,,,acclamation,,,,,,,,,,,,
73,accolade,,,,,,,,,,,,,,,accolade,,,,,,,,,,,,
74,accommodate,,,,,,,,accommodate,,,,,,,,,,,,,,,,,,,
75,accommodation,,,,,,,,,,,,,,,accommodation,,,,,,,,,,,,
76,accompaniment,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,accompany,,,,,,accompany,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,accomplish,,,,accomplish,accomplish,,,accomplish,,,,,,,,,,,,,,,,,,,
80,accomplishment,,,,accomplishment,accomplishment,,,accomplishment,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,accord,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,accord,,,,,accord,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,accord,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,accordance,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,accost,,accost,,,,,accost,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,account,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,account,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,account,,,,,,
95,,,,,,,,,,,,,,,,,,account,,,,,,,,,,
96,accountable,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,accrue,,,,,,,,accrue,,,,,,,,,,,,,accrue,,,,,,
98,,,,,,,,,accumulate,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,accumulation,,,,,,,,,,,,,,,,,,,
100,accuracy,,,,,,,,,,,,,,,accuracy,,accuracy,,,,,,,,,,
101,accurate,,,,,,,,,,,,,,,accurate,,accurate,,,,,,,,,,
102,accurateness,,,,,,,,,,,,,,,accurateness,,accurateness,,,,,,,,,,
103,,accursed,,accursed,,,,,,,,,,,,,accursed,,,,,,,,,,,
104,,accusation,,accusation,,,,,,,,,,,,,,,,,,,,,,,,
105,,accuse,,accuse,,,,,,,,,,,,,,,,,,,,,accuse,,,
106,,accuse,,accuse,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,accustom,,,,,,accustom,,,accustom,,,,,,,,,
108,,,,,,,,,,accustom,,,,,,,,,,,,,,,,,,
109,,ache,,,,,,,,ache,,ache,,,,,,,,,,,,,,,,
110,achieve,,,,achieve,,,,achieve,,,,,,,,,,,,,,,,,,,
111,achievement,,,,,achievement,,,achievement,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,acknowledgement,,,,,,,,,,,,,,,,,acknowledgement,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,acquaint,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,acquaintance,,acquaintance,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,acquire,,,,acquire,,,,,,,,,,,,,,,,,,,
118,,,,,acquire,,,,acquire,,,,,,,,,,,,,,,,,,,
119,,,,,acquisition,,,,acquisition,,,,,,,,,,,,,,,,,,,
120,acquit,,,,,,,,,,,,,,,,,,,,,,,,acquit,,,
121,acquittal,,,,,,,,,,,,,,,,,,,,,,,,acquittal,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,acrimonious,,acrimonious,,,,,,,,,,acrimonious,,,,,,,,,,,,,,
124,,acrimony,,acrimony,,,,,,acrimony,,,,acrimony,,,acrimony,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,act,,,,act,,,,,,,,,,,,,,,,,,,
131,,,,,act,,,,act,,,,,,,,,,,,,,,,,,,
132,,,,,act,,,,act,,,,,,,,,,,,,,,,,,,
133,,,,act,,,,,act,,,,,,,,,,,,,,,,,,,
134,,,,,action,,,,action,,,,,,,,,,,,,,,,,,,
135,,,,,active,,,,active,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,active,,,,,,,,,active,,,,,,,,,,
137,,,,,,,,,activity,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,actor,,,,,,,,,,,,,,,actor,,,,
139,actual,,,,,,,,,,,,,,,actual,,actual,,,,,,,,,,
140,actual,,,,,,,,,,,,,,,actual,,actual,,,,,,,,,,
141,actuality,,,,,,,,,,,,,,,actuality,,,,,actuality,,,,,,,
142,,,,,,,,,,,,,,,,,,acute,,,,,,,,,,
143,adamant,,,,adamant,,,,,,,,,adamant,,,,,,,,,,,,,,
144,,,,,adapt,,,,adapt,,,,,,,,,,,,,,,,,,,
145,adaptability,,,,adaptability,,,,,,,,,,,adaptability,,,,,,,,,,,,
146,adaptable,,,,adaptable,,,,,,,,,,,adaptable,,,,,,,,,,,,
147,adaptation,,,,adaptation,,,,,,,,,,,adaptation,,,,,,,,,,,,
148,adaptive,,,,adaptive,,,,,,,,,,,adaptive,,,,,,,,,,,,
149,,,,,add,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,addict,,,,,addict,,,,,,,,,,,,,,,,,,,,,
152,,addiction,,,,,addiction,,,,,,,,,,,addiction,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,addition,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,additional,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,address,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,address,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,address,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,adept,,,,adept,,,,,,,,,,,adept,,,,,,,,,,,,
161,adeptness,,,,adeptness,,,,,,,,,,,adeptness,,,,,,,,,,,,
162,adequate,,,,,,,,,,,,,,,adequate,,,adequate,,,,,,,,,
163,,,,,,,,,,adhere,,,,,,,,,,,,,,,,,,
164,adherence,,adherence,,,,,,,,,,,,,,,,,,,,,,,,,
165,adherent,,adherent,,,,,,,,,,,,,,,,,,,,,,,,,
166,adhesion,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,adhesive,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,adjournment,,,,,,,,,,,,,,,,,,
171,,,,,,adjudication,,,,,,,,,,,,,,,,,,,,,,
172,adjunct,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,adjust,,,,,,,,,,,,,,,,,,,,,,,
174,adjust,,,,,,,adjust,,,,,,,,adjust,,,,,,,,,,,,
175,adjustable,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,adjustment,,,,,,,,,adjustment,,,,,,adjustment,,,,,,,,,,,,
177,,,,,administer,administer,,,administer,,,,,,,,,,,,,,,,,,,
178,,,,,administration,administration,,,,,,,,,,,,,,,,,,,,,administration,
179,,,,,administration,administration,,,administration,,,,,,,,,,,,administration,,,,,,,
180,,,,,administrative,administrative,,,administrative,,,,,,,,,,,,administrative,,,,,,,
181,,,,,administrator,administrator,,,,,,,,,,,,,,,,,,,,,,
182,admirable,,,,,,,,,,,,,,,admirable,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,admiration,,,,admiration,,,,,,admiration,,,,admiration,admiration,,,,,,,,,,,,
186,admire,,admire,,,,,admire,,admire,admire,,,,,,,,,,,,,,,,,
187,admirer,,,,admirer,,,,,,,,,,admirer,,,,,,,,,,,,,
188,,,,,,,,admissible,,admissible,,,,,,,,,,,,,,,,,,
189,,,,,,,,admission,,admission,,,,,,,,,,,,,,,,,,
190,admit,,,,,,admit,admit,,admit,,,,,,,,,,,,,,,,,,
191,admit,,,,,admit,,,,admit,,,,,,,,,,,,,,,,,,
192,admit,,,,,,admit,admit,,admit,,,,,,,,admit,,,,,,,,,,
193,admittance,,,,,,,,admittance,,,,,,,,,,,,,,,,,,,
194,,admonish,,admonish,admonish,admonish,,,admonish,,,,,,,,,,,,,,,,,,,
195,,admonition,,,,,,,admonition,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,adopt,,,,,,,adopt,,,,,,,,,,,,,,,,,,
198,,,adopt,,,,,,adopt,,,,,,,,,,,,,,,,,,,
